Source,Target,Type,Id,Label,timeset,Weight
SaudiReformers,Fh_Ghuwaydi,Directed,528442,,,1
Politic_Star,Fh_Ghuwaydi,Directed,505371,,,1
NasserAlajmi89,Fh_Ghuwaydi,Directed,486918,,,1
mu7aqiq20,Fh_Ghuwaydi,Directed,478273,,,1
MediaCenterAA,Fh_Ghuwaydi,Directed,453870,,,1
M_alumri,Fh_Ghuwaydi,Directed,442907,,,1
Husain_Alq,Fh_Ghuwaydi,Directed,409764,,,1
Hudhaif9,Fh_Ghuwaydi,Directed,408899,,,1
fahadlghofaili,Fh_Ghuwaydi,Directed,386130,,,1
Dr_Utaybi,Fh_Ghuwaydi,Directed,378444,,,1
DiasporaConfKsa,Fh_Ghuwaydi,Directed,376556,,,1
Politic_Star,MousaAlomar,Directed,505314,,,1
islamicommapart,MousaAlomar,Directed,419262,,,1
Husain_Alq,MousaAlomar,Directed,409682,,,1
GamalSultan1,MousaAlomar,Directed,394765,,,1
fahadlghofaili,MousaAlomar,Directed,386001,,,1
AlshimaaMorsi,MousaAlomar,Directed,341013,,,1
Alsamhouri,MousaAlomar,Directed,339362,,,1
Abubelal_1951,MousaAlomar,Directed,314102,,,1
fahadlghofaili,MBA_AlThani_,Directed,386025,,,1
rdooan,rterdogan_ar,Directed,513899,,,1
mohammed_slman,rterdogan_ar,Directed,467879,,,1
islamicommapart,rterdogan_ar,Directed,419199,,,1
iabomar,rterdogan_ar,Directed,412310,,,1
Husain_Alq,rterdogan_ar,Directed,409647,,,1
Hudhaif9,rterdogan_ar,Directed,408590,,,1
drassagheer,rterdogan_ar,Directed,378891,,,1
AlshimaaMorsi,rterdogan_ar,Directed,340918,,,1
Alshamsi789,rterdogan_ar,Directed,340108,,,1
AlhawaliAa,rterdogan_ar,Directed,331188,,,1
rdooan,ALThani_M,Directed,514067,,,1
mahwe311,ALThani_M,Directed,446665,,,1
fahadlghofaili,ALThani_M,Directed,386242,,,1
AlshimaaMorsi,ALThani_M,Directed,341299,,,1
NasserAlajmi89,majedalansari,Directed,486772,,,1
MediaCenterAA,majedalansari,Directed,453796,,,1
M_alumri,majedalansari,Directed,442826,,,1
Kh_OZ,majedalansari,Directed,427095,,,1
Alshamsi789,majedalansari,Directed,340226,,,1
AlhawaliAa,majedalansari,Directed,331309,,,1
ajmubasher,ajmurgent,Directed,BM13227,,,10
ajmurgent,ajmubasher,Directed,BM07526,,,10
MediaCenterAA,ajmubasher,Directed,454006,,,1
M_alumri,ajmubasher,Directed,443062,,,1
Husain_Alq,ajmubasher,Directed,409856,,,1
Hudhaif9,ajmubasher,Directed,409076,,,1
GamalSultan1,ajmubasher,Directed,394866,,,1
drassagheer,ajmubasher,Directed,378996,,,1
AlshimaaMorsi,ajmubasher,Directed,341338,,,1
AlhawaliAa,ajmubasher,Directed,331597,,,1
Aldiwan2030,933556266,Directed,564320,,,1
Alsamhouri,933556266,Directed,564316,,,1
AlshimaaMorsi,933556266,Directed,564315,,,1
alzuair,933556266,Directed,564314,,,1
AYS_300,933556266,Directed,564304,,,1
Dr_Utaybi,933556266,Directed,564294,,,1
fahadlghofaili,933556266,Directed,564289,,,1
Husain_Alq,933556266,Directed,564278,,,1
islamicommapart,933556266,Directed,564273,,,1
Kh_OZ,933556266,Directed,564264,,,1
MediaCenterAA,933556266,Directed,564247,,,1
mujtahidvideo,933556266,Directed,564234,,,1
Politic_Star,933556266,Directed,564229,,,1
rdooan,933556266,Directed,564226,,,1
MajedAlasmariAP,933556266,Directed,564198,,,1
qahtani_s1,Hamza_tekin2023,Directed,562493,,,1
lawyerasim,Hamza_tekin2023,Directed,437910,,,1
Husain_Alq,Hamza_tekin2023,Directed,409752,,,1
Hudhaif9,Hamza_tekin2023,Directed,408867,,,1
GamalSultan1,Hamza_tekin2023,Directed,394809,,,1
fahadlghofaili,Hamza_tekin2023,Directed,386109,,,1
drassagheer,Hamza_tekin2023,Directed,378932,,,1
AlshimaaMorsi,Hamza_tekin2023,Directed,341147,,,1
MajedAlasmariAP,TurkPressMedia,Directed,1406,,,1
Kh_OZ,TurkPressMedia,Directed,426897,,,1
islamicommapart,TurkPressMedia,Directed,419126,,,1
fahadlghofaili,TurkPressMedia,Directed,385874,,,1
qahtani_s1,Dr_alwasmi,Directed,562505,,,1
Politic_Star,Dr_alwasmi,Directed,505388,,,1
NasserAlajmi89,Dr_alwasmi,Directed,486980,,,1
MediaCenterAA,Dr_alwasmi,Directed,453901,,,1
M_alumri,Dr_alwasmi,Directed,442941,,,1
lawyerasim,Dr_alwasmi,Directed,437931,,,1
Hudhaif9,Dr_alwasmi,Directed,408944,,,1
fahadlghofaili,Dr_alwasmi,Directed,386174,,,1
Alshamsi789,Dr_alwasmi,Directed,340412,,,1
AlhawaliAa,Dr_alwasmi,Directed,331458,,,1
Aldiwan2030,Dr_alwasmi,Directed,329525,,,1
NasserAlajmi89,al_tariq2009,Directed,487162,,,1
M_alumri,al_tariq2009,Directed,443057,,,1
Kh_OZ,al_tariq2009,Directed,427378,,,1
Hudhaif9,al_tariq2009,Directed,409071,,,1
fahadlghofaili,al_tariq2009,Directed,386296,,,1
Dr_Utaybi,al_tariq2009,Directed,378568,,,1
AYS_300,al_tariq2009,Directed,359524,,,1
Alshamsi789,al_tariq2009,Directed,340548,,,1
mohammed_slman,spagov,Directed,467849,,,1
islamicommapart,spagov,Directed,419161,,,1
Husain_Alq,spagov,Directed,409619,,,1
Hudhaif9,spagov,Directed,408530,,,1
fahadlghofaili,spagov,Directed,385903,,,1
AYS_300,spagov,Directed,359326,,,1
alzuair,spagov,Directed,342258,,,1
AlhawaliAa,spagov,Directed,331139,,,1
abanaemah,spagov,Directed,299262,,,1
Politic_Star,ajmurgent,Directed,505428,,,1
Hudhaif9,ajmurgent,Directed,409075,,,1
alzuair,ajmurgent,Directed,342515,,,1
AlshimaaMorsi,ajmurgent,Directed,341337,,,1
qahtani_s1,AbdullahElshrif,Directed,562506,,,1
rdooan,AbdullahElshrif,Directed,514116,,,1
Politic_Star,AbdullahElshrif,Directed,505441,,,1
Obaidallah_90,AbdullahElshrif,Directed,495725,,,1
mu7aqiq20,AbdullahElshrif,Directed,478305,,,1
