Id,Label,timeset,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,pageranks,modularity_class,Authority,Hub,clustering,level,tag,anomaly,fr,fg,location,bio,nation,weight,occup,categ,statu
Fh_Ghuwaydi,Fh_Ghuwaydi,,155,0,155,0,0,0,0,0.192736,0.000328,0,0.060958,0,0.03452,,,1.358444,15201,61,"London, England","‏‏‏‏‏‏‏‏‏‏‏‏‏وطني ... قد كنت أرضا فصرت شخصا !!

للتواصل
ghowaydi@gmail.com



















00447535123560",,,,,
MousaAlomar,MousaAlomar,,256,0,256,0,0,0,0,0.320815,0.000307,0,0.029888,0,0.006162,,,0.542793,593483,1124,"London, England",ما أكتبه يعكس وجهة نظري فقط وليس المؤسسة التي أديرها أو أمثلها .. سليلْ بني أمية ..,,,,,
MBA_AlThani_,MBA_AlThani_,,115,0,115,0,0,0,0,0.124927,0.000288,30,0.004963,0,0.002872,,,0.291161,596194,48,Qatar,نائب رئيس مجلس الوزراء وزير الخارجية #قطر                          Deputy Prime Minister & Foreign Minister #Qatar,,,,,
rterdogan_ar,rterdogan_ar,,450,0,450,0,0,0,0,0.406459,0.000307,30,0.036384,0,0.003843,,,0.24221,3491479,7,"Ankara, TURKEY",رئيس الجمهورية التركية,,,,,
ALThani_M,ALThani_M,,49,0,49,0,0,0,0,0.106486,0.000298,0,0.016409,0,0.019947,,,,,,,,,,,,
majedalansari,majedalansari,,73,0,73,0,0,0,0,0.172955,0.000293,0,0.026282,0,0.015895,,,1.02329,66840,558,"الدوحة, دولة قطر",كاتب حين أجد وقتاً، باحث حين أجد دافعاً، أستاذ جامعي حين أجد طلاباً,قطر,,,,
ajmubasher,ajmubasher,,221,0,221,0,0,0,0,0.21807,0.000308,30,0.048924,0,0.008741,,,,,,,,,,,,
933556266,RTarabic,,142,0,142,0,0,0,0,0.256081,0.000308,0,0.037308,0,0.015451,,,,,,,,,,,,
Hamza_tekin2023,Hamza_tekin2023,,290,0,290,0,0,0,0,0.263999,0.000306,0,0.042589,0,0.007485,,,0.622725,455410,1501,Türkiye,İlahiyatçı Gazeteci كاتب صحفي,,,,,
TurkPressMedia,TurkPressMedia,,100,0,100,0,0,0,0,0.099941,0.00029,30,0.01507,0,0.006494,,,0.393414,431799,12,عين على تركيا,موقع إخباري مستقل يرصد الأخبار والمقالات التركية وينقلها للعالم العربي بدقة وموضوعية.,,,,,
